BG00;Gas CCGT new;453;1;GAS
BG00;Gas conventional old 1;40;1;GAS
BG00;Lignite New;30;1;LIGNITE
BG00;Lignite old 1;603;2;LIGNITE
BG00;Lignite old 2;600;1;LIGNITE
BG00;Gas OCGT new;591;2;GAS
BG00;Nuclear -;1386.66666666667;3;NUC
CY00;Gas CCGT new;224;1;GAS
CY00;Gas CCGT old 2;414.5;2;GAS
CY00;Gas CCGT new CCS;120;1;GAS CCS
FR15;Gas conventional old 1;246;1;GAS
EL00;Gas CCGT new;330;1;GAS
EL00;Gas CCGT new;388.5;2;GAS
EL00;Gas CCGT new;595;4;GAS
EL00;Gas CCGT new CCS;480;1;GAS CCS
EL00;Gas CCGT CCS;68;1;GAS CCS
MK00;Lignite old 1;205;1;LIGNITE
MT00;Gas CCGT old 1;205;1;GAS
MT00;Gas conventional old 1;152;1;GAS
MT00;Hard coal old 2;150;1;COAL
RO00;Gas CCGT new;499.666666666667;3;GAS
RO00;Gas conventional old 1;644.5;2;GAS
RO00;Lignite old 1;765;2;LIGNITE
RO00;Hard coal old 1;620;1;COAL
RO00;Gas OCGT new;214;1;GAS
RO00;Nuclear -;1314;2;NUC
RS00;Gas CCGT new;182;1;GAS
RS00;Lignite New;758;1;LIGNITE
RS00;Lignite old 2;810;5;LIGNITE
UA01;Hard coal old 1;732.333333333333;3;COAL
UA01;Oil shale new;13;1;OIL
